epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,6332.71,0.03154,0.65432,0.88352,0.77875,0.74574,0.82091,0.82091,0.12173,0.55878,0.16584,0.00386839,0.00386839,0.00386839
98,6399.22,0.03122,0.65814,0.88369,0.76045,0.74674,0.81849,0.81849,0.12524,0.57056,0.17083,0.00380452,0.00380452,0.00380452
99,6465.68,0.03136,0.64945,0.88528,0.74718,0.76477,0.81568,0.81568,0.12857,0.57458,0.1757,0.00374065,0.00374065,0.00374065
100,6533.01,0.03101,0.6501,0.88271,0.77332,0.75737,0.82032,0.82032,0.10642,0.56324,0.14688,0.00367677,0.00367677,0.00367677
101,6600.31,0.03085,0.64525,0.88748,0.78234,0.75294,0.81953,0.81953,0.1032,0.56628,0.14179,0.0036129,0.0036129,0.0036129
102,6667.26,0.03043,0.6461,0.8822,0.78466,0.75561,0.82209,0.82209,0.07743,0.52965,0.10633,0.00354903,0.00354903,0.00354903
103,6734.54,0.02989,0.64498,0.88579,0.7415,0.78591,0.82274,0.82274,0.09729,0.54176,0.13632,0.00348516,0.00348516,0.00348516
104,6801.64,0.03064,0.64533,0.88475,0.7926,0.73073,0.82077,0.82077,0.10712,0.56192,0.15029,0.00342129,0.00342129,0.00342129
105,6870.03,0.0296,0.64262,0.88404,0.76977,0.75921,0.82186,0.82186,0.1011,0.5456,0.1407,0.00335742,0.00335742,0.00335742
106,6937.71,0.0291,0.6406,0.88136,0.77691,0.74761,0.81859,0.81859,0.10461,0.55455,0.14225,0.00329355,0.00329355,0.00329355
107,7005.01,0.02854,0.62983,0.88731,0.76475,0.76379,0.81982,0.81982,0.11183,0.56839,0.15053,0.00322968,0.00322968,0.00322968
108,7072.21,0.02914,0.61596,0.88334,0.80847,0.72332,0.82266,0.82266,0.1105,0.56141,0.14857,0.00316581,0.00316581,0.00316581
109,7139.71,0.0279,0.62547,0.88286,0.79878,0.75673,0.8241,0.8241,0.09051,0.53247,0.1232,0.00310194,0.00310194,0.00310194
110,7207.16,0.02843,0.61526,0.88486,0.80323,0.73746,0.82533,0.82533,0.08528,0.52359,0.11547,0.00303806,0.00303806,0.00303806
111,7274.51,0.0278,0.61296,0.88305,0.79484,0.75165,0.8233,0.8233,0.07158,0.51776,0.09653,0.00297419,0.00297419,0.00297419
112,7341.98,0.02715,0.62123,0.88555,0.79157,0.74684,0.82346,0.82346,0.05997,0.49074,0.08012,0.00291032,0.00291032,0.00291032
113,7409.46,inf,0.6105,0.88362,0.77426,0.75954,0.82633,0.82633,0.0578,0.48666,0.07813,0.00284645,0.00284645,0.00284645
114,7477.33,0.0265,0.61047,0.88326,0.78585,0.74695,0.82675,0.82675,0.05451,0.47377,0.07347,0.00278258,0.00278258,0.00278258
115,7545.34,0.0263,0.60948,0.88486,0.76784,0.75316,0.82576,0.82576,0.05864,0.48791,0.08025,0.00271871,0.00271871,0.00271871
116,7612.7,inf,0.59974,0.88508,0.77171,0.75077,0.82636,0.82636,0.05584,0.47665,0.07578,0.00265484,0.00265484,0.00265484
117,7680.33,0.02646,0.60069,0.88377,0.79086,0.73508,0.82686,0.82686,0.06933,0.50849,0.09367,0.00259097,0.00259097,0.00259097
118,7748.43,0.02567,0.59,0.88203,0.77768,0.7524,0.82514,0.82514,0.09989,0.54439,0.13575,0.0025271,0.0025271,0.0025271
119,7816.23,0.02601,0.60601,0.88581,0.7764,0.74702,0.82715,0.82715,0.1056,0.54525,0.14263,0.00246323,0.00246323,0.00246323
120,7883.42,0.02492,0.5956,0.88417,0.78473,0.7367,0.82684,0.82684,0.10781,0.54221,0.14425,0.00239935,0.00239935,0.00239935
121,7950.27,0.02486,0.58664,0.88535,0.79039,0.73286,0.82556,0.82556,0.11128,0.54497,0.14749,0.00233548,0.00233548,0.00233548
122,8015.39,inf,0.58802,0.88238,0.78785,0.73407,0.82397,0.82397,0.11371,0.55234,0.15117,0.00227161,0.00227161,0.00227161
123,8079.96,0.02463,0.5807,0.88471,0.80715,0.71465,0.82314,0.82314,0.11048,0.55252,0.14726,0.00220774,0.00220774,0.00220774
124,8144.8,0.02434,0.57292,0.88101,0.78428,0.73894,0.82221,0.82221,0.10888,0.55563,0.14629,0.00214387,0.00214387,0.00214387
125,8210.84,inf,0.57264,0.88327,0.78379,0.7502,0.82292,0.82292,0.10375,0.55194,0.14054,0.00208,0.00208,0.00208
126,8276.33,0.02329,0.56549,0.88279,0.79222,0.73986,0.82333,0.82333,0.10326,0.55103,0.13963,0.00201613,0.00201613,0.00201613
127,8342.75,0.02379,0.56514,0.8827,0.75718,0.76808,0.82371,0.82371,0.10438,0.55207,0.14126,0.00195226,0.00195226,0.00195226
128,8409.92,0.02339,0.57235,0.88479,0.79478,0.73566,0.8239,0.8239,0.10312,0.55598,0.13948,0.00188839,0.00188839,0.00188839
129,8478.04,0.02305,0.56342,0.88203,0.7707,0.7607,0.82417,0.82417,0.10521,0.5666,0.14216,0.00182452,0.00182452,0.00182452
130,8544.13,inf,0.56027,0.88401,0.77615,0.75624,0.82302,0.82302,0.11172,0.57514,0.15112,0.00176065,0.00176065,0.00176065
131,8610.29,0.02194,0.55388,0.88117,0.77824,0.75017,0.82214,0.82214,0.11404,0.58155,0.15451,0.00169677,0.00169677,0.00169677
132,8676.27,0.02217,0.55868,0.88316,0.7803,0.75411,0.82269,0.82269,0.1168,0.58256,0.1587,0.0016329,0.0016329,0.0016329
133,8741.71,0.02188,0.5582,0.88045,0.78161,0.7554,0.82297,0.82297,0.11884,0.58612,0.1617,0.00156903,0.00156903,0.00156903
134,8806.86,0.0216,0.54751,0.88587,0.78699,0.74875,0.82255,0.82255,0.11899,0.58569,0.16186,0.00150516,0.00150516,0.00150516
135,8872.53,0.02156,0.54114,0.88402,0.78417,0.75045,0.82259,0.82259,0.12095,0.59054,0.16447,0.00144129,0.00144129,0.00144129
136,8938.29,inf,0.54206,0.88515,0.77166,0.75712,0.82268,0.82268,0.12273,0.59497,0.16709,0.00137742,0.00137742,0.00137742
137,9003.57,0.02087,0.54615,0.88266,0.76868,0.76052,0.82186,0.82186,0.12406,0.59943,0.16869,0.00131355,0.00131355,0.00131355
138,9068.68,inf,0.52994,0.88286,0.75037,0.77258,0.82135,0.82135,0.12601,0.60468,0.17076,0.00124968,0.00124968,0.00124968
139,9134.01,0.02055,0.54264,0.88479,0.77278,0.75625,0.82033,0.82033,0.12789,0.61099,0.17329,0.00118581,0.00118581,0.00118581
140,9199.23,0.02024,0.54337,0.88298,0.76221,0.76279,0.81978,0.81978,0.12902,0.61603,0.17482,0.00112194,0.00112194,0.00112194
141,9264.31,inf,0.52694,0.88024,0.78777,0.73969,0.81897,0.81897,0.13012,0.62046,0.1761,0.00105806,0.00105806,0.00105806
142,9328.75,inf,0.52918,0.88124,0.783,0.74476,0.81827,0.81827,0.13076,0.62377,0.17675,0.000994194,0.000994194,0.000994194
143,9393.34,0.01948,0.5238,0.88082,0.7773,0.74592,0.8176,0.8176,0.1311,0.62604,0.17699,0.000930323,0.000930323,0.000930323
144,9457.27,inf,0.5235,0.8827,0.7872,0.73556,0.81737,0.81737,0.13173,0.62924,0.17785,0.000866452,0.000866452,0.000866452
145,9520.18,0.01892,0.52152,0.88272,0.77624,0.74685,0.8173,0.8173,0.13181,0.62982,0.17793,0.000802581,0.000802581,0.000802581
146,9612.74,0.0215,0.1947,0.89697,0.7748,0.74361,0.81705,0.81705,0.13172,0.63211,0.1777,0.00073871,0.00073871,0.00073871
147,9675.03,0.01837,0.14522,0.89599,0.77707,0.74502,0.81666,0.81666,0.13182,0.63551,0.17822,0.000674839,0.000674839,0.000674839
148,9739.47,0.01718,0.13186,0.89323,0.78038,0.74058,0.81649,0.81649,0.13175,0.63964,0.17825,0.000610968,0.000610968,0.000610968
149,9805.21,0.0164,0.13004,0.89782,0.76809,0.75188,0.81524,0.81524,0.1306,0.64075,0.17659,0.000547097,0.000547097,0.000547097
150,9871.45,0.01613,0.12499,0.89473,0.77493,0.74688,0.81493,0.81493,0.12922,0.64122,0.17445,0.000483226,0.000483226,0.000483226
151,9936.9,0.01551,0.11733,0.89511,0.77362,0.74711,0.81416,0.81416,0.12851,0.64593,0.17345,0.000419355,0.000419355,0.000419355
152,10003.3,0.01523,0.10878,0.89348,0.77901,0.74067,0.81379,0.81379,0.12747,0.64928,0.17206,0.000355484,0.000355484,0.000355484
153,10067.8,0.01497,0.1052,0.89349,0.77978,0.74207,0.81331,0.81331,0.12653,0.65211,0.17069,0.000291613,0.000291613,0.000291613
154,10131.8,0.01417,0.1033,0.89452,0.78059,0.74708,0.81271,0.81271,0.12544,0.65412,0.16929,0.000227742,0.000227742,0.000227742
155,10195,0.01375,0.09641,0.8946,0.76576,0.7532,0.81217,0.81217,0.12432,0.65521,0.16782,0.000163871,0.000163871,0.000163871
